    mean.tBAcc.mean.X     mean.tBAcc.mean.Y     mean.tBAcc.mean.Z      mean.tBAcc.std.X      mean.tBAcc.std.Y      mean.tBAcc.std.Z  mean.tGravAcc.mean.X  mean.tGravAcc.mean.Y  mean.tGravAcc.mean.Z   mean.tGravAcc.std.X   mean.tGravAcc.std.Y   mean.tGravAcc.std.Z   mean.tBAccJk.mean.X   mean.tBAccJk.mean.Y   mean.tBAccJk.mean.Z    mean.tBAccJk.std.X    mean.tBAccJk.std.Y    mean.tBAccJk.std.Z      mean.tBGy.mean.X      mean.tBGy.mean.Y      mean.tBGy.mean.Z       mean.tBGy.std.X       mean.tBGy.std.Y       mean.tBGy.std.Z    mean.tBGyJk.mean.X    mean.tBGyJk.mean.Y    mean.tBGyJk.mean.Z     mean.tBGyJk.std.X     mean.tBGyJk.std.Y     mean.tBGyJk.std.Z    mean.tBAccMag.mean     mean.tBAccMag.std mean.tGravAccMag.mean  mean.tGravAccMag.std  mean.tBAccJkMag.mean   mean.tBAccJkMag.std     mean.tBGyMag.mean      mean.tBGyMag.std   mean.tBGyJkMag.mean    mean.tBGyJkMag.std     mean.fBAcc.mean.X     mean.fBAcc.mean.Y     mean.fBAcc.mean.Z      mean.fBAcc.std.X      mean.fBAcc.std.Y      mean.fBAcc.std.Z   mean.fBAccJk.mean.X   mean.fBAccJk.mean.Y   mean.fBAccJk.mean.Z    mean.fBAccJk.std.X    mean.fBAccJk.std.Y    mean.fBAccJk.std.Z      mean.fBGy.mean.X      mean.fBGy.mean.Y      mean.fBGy.mean.Z       mean.fBGy.std.X       mean.fBGy.std.Y       mean.fBGy.std.Z    mean.fBAccMag.mean     mean.fBAccMag.std  mean.fBAccJkMag.mean   mean.fBAccJkMag.std     mean.fBGyMag.mean      mean.fBGyMag.std   mean.fBGyJkMag.mean    mean.fBGyJkMag.std
         0.2773307587       -0.017383818530        -0.11114810350       -0.283740258800        0.114461336700       -0.260027902200          0.9352232015       -0.282165021300       -0.068102864000         -0.9766096425         -0.9713059615         -0.9477172261         0.07404163332       0.0282721095900      -4.168406178e-03       -0.113615602400        0.067002500770        -0.50269978850       -0.041830963530       -0.069530046210        0.084944817300        -0.47353548590       -0.054607768660        -0.34426662950        -0.08999754237        -0.03984287095       -0.046130929500        -0.20742185480        -0.30446851060       -0.404255452600      -0.1369711766000        -0.21968864560      -0.1369711766000        -0.21968864560       -0.141428809000        -0.07447175006       -0.160979552500        -0.18697836450        -0.29870367910        -0.32532487890        -0.20279430630        0.089712726400        -0.33156011780       -0.319134719600        0.056040006850        -0.27968675150       -0.170546964500       -0.035225524110        -0.46899922460       -0.133586606300        0.106739857100        -0.53471344040        -0.33903219710        -0.10305941640        -0.25594094030         -0.5166919387        -0.03350815979        -0.43656222750       -0.128623450600      -0.3980325868000      -0.0571194000300        -0.10349240300      -0.1992525690000        -0.32101795390        -0.31930859380        -0.38160191180
         0.2554616896       -0.023953149260        -0.09730200209       -0.354708025100       -0.002320265017       -0.019479238850          0.8933510975       -0.362153364300       -0.075402939750         -0.9563670279         -0.9528492332         -0.9123794104         0.10137272990       0.0194863076200      -4.556254491e-02       -0.446843887700       -0.378274426000        -0.70659353090        0.050549379750       -0.166170015100        0.058359546400        -0.54487110450        0.004105183798        -0.50716867490        -0.12223276800        -0.04214858845       -0.040712552770        -0.61478650850        -0.60169665620       -0.606332002300      -0.1299276307000        -0.32497092920      -0.1299276307000        -0.32497092920       -0.466503446200        -0.47899162210       -0.126735590000        -0.14861931810        -0.59488286510        -0.64855304430        -0.40432178420       -0.190976720800        -0.43334970210       -0.337428188700        0.021769510660         0.08595655438       -0.479875245700       -0.413444587500        -0.68547435400       -0.461907025800       -0.381777065300        -0.72604020080        -0.49261166790        -0.31947460910        -0.45359721300         -0.5658924908         0.15153890560        -0.57170784000       -0.352395944700      -0.4162601015000      -0.4426521625000        -0.53305985380      -0.3259614574000        -0.18298551830        -0.63466508210        -0.69393052150
         0.2891883204       -0.009918504610        -0.10756619090        0.030035338350       -0.031935943450       -0.230434213200          0.9318744190       -0.266610339000       -0.062119958590         -0.9505598116         -0.9370186590         -0.8959396951         0.05415531649       0.0296504490400      -1.097197302e-02       -0.012283860540       -0.101601390600        -0.34573503230       -0.035078190300       -0.090937129020        0.090085014200        -0.45803054290       -0.126349194900        -0.12470245420        -0.07395920363        -0.04399027834       -0.027046106110        -0.48702734220        -0.23882482750       -0.268761480200       0.0271882914100         0.01988435063       0.0271882914100         0.01988435063       -0.089447480800        -0.02578771971       -0.075741254370        -0.22572436810        -0.29546384330        -0.30651064550         0.03822918315        0.001549907836        -0.22557447170        0.024330839140       -0.112963740000        -0.29792789470       -0.027663867610       -0.128667157600        -0.28833473570       -0.086327896640       -0.134580008900        -0.40172146430        -0.35244963140        -0.05570225247        -0.03186942720         -0.4954224861        -0.18141472870        -0.23844356530        0.096584534300      -0.1865303011000       0.0262184949300        -0.10405226070      -0.1857202857000        -0.39835039010        -0.28196335920        -0.39191987660
         0.2612375654       -0.001308287652        -0.10454418230       -0.977229008300       -0.922618641900       -0.939586291100          0.8315099334        0.204411592700        0.332043702800         -0.9684571457         -0.9355170560         -0.9490409332         0.07748251996      -0.0006191027851      -3.367792350e-03       -0.986430711300       -0.981371965300        -0.98791080450       -0.045350056510       -0.091924154940        0.062931381190        -0.97721128320       -0.966473895300        -0.94142592090        -0.09367938072        -0.04021181243       -0.046702627000        -0.99173159210        -0.98951806850       -0.987935806400      -0.9485367862000        -0.92707841870      -0.9485367862000        -0.92707841870       -0.987364195500        -0.98412002400       -0.930892490000        -0.93453184040        -0.99197634130        -0.98830872850        -0.97964123870       -0.944084550400        -0.95918488910       -0.976412313200       -0.917275006400        -0.93446955810       -0.986597022600       -0.981579467000        -0.98605309230       -0.987492994500       -0.982513909600        -0.98833918490        -0.97616146400        -0.97583858530        -0.95131554450         -0.9779042270        -0.96234504260        -0.94391784110       -0.947782922600      -0.9284448017000      -0.9852621268000        -0.98160617740      -0.9584355894000        -0.93219837490        -0.98979754720        -0.98704961720
         0.2789176291       -0.016137590100        -0.11060181770       -0.995759901500       -0.973190056400       -0.979775877000          0.9429520004       -0.272983832300        0.013490582320         -0.9937629851         -0.9812259579         -0.9763240636         0.07537665423       0.0079757309280      -3.685249547e-03       -0.994604542300       -0.985648732500        -0.99225117740       -0.023987734800       -0.059397220980        0.074800751000        -0.98719194660       -0.987734440000        -0.98064562700        -0.09960921291        -0.04406278779       -0.048950546670        -0.99294510700        -0.99513791740       -0.992108467200      -0.9842782074000        -0.98194292890      -0.9842782074000        -0.98194292890       -0.992367790600        -0.99309620940       -0.976493792800        -0.97869002870        -0.99496679060        -0.99473323870        -0.99524993260       -0.977070847700        -0.98529709870       -0.996028345100       -0.972293102100        -0.97793725960       -0.994630797400       -0.985418704500        -0.99075216600       -0.995073759200       -0.987018226800        -0.99234981810        -0.98638678600        -0.98898445580        -0.98077312280         -0.9874971287        -0.98710772770        -0.98234533000       -0.985356361100      -0.9823138047000      -0.9925424775000        -0.99253600340      -0.9846176234000        -0.97846607210        -0.99481537700        -0.99467112320
         0.2215982439       -0.040513953430        -0.11320355360       -0.928056469200       -0.836827405600       -0.826061401600         -0.2488817983        0.705549773500        0.445817719800         -0.8968300184         -0.9077200068         -0.8523662902         0.08108653420       0.0038382040090       1.083423636e-02       -0.958482112000       -0.924149273600        -0.95485511080       -0.016553093980       -0.064486124090        0.148689436300        -0.87354386780       -0.951090440200        -0.90828466260        -0.10727094920        -0.04151728689       -0.074050121100        -0.91860852080        -0.96790724360       -0.957790159600      -0.8419291525000        -0.79514486390      -0.8419291525000        -0.79514486390       -0.954396264600        -0.92824562840       -0.874759548000        -0.81901016980        -0.96346103000        -0.93584098280        -0.93909905240       -0.867065205200        -0.88266687620       -0.924437434600       -0.833625556100        -0.81289155940       -0.957073883800       -0.922462609800        -0.94806090420       -0.964160708600       -0.932217870400        -0.96058698720        -0.85024917460        -0.95219149480        -0.90930272100         -0.8822964508        -0.95123204940        -0.91658250820       -0.861767648100      -0.7983009404000      -0.9333003608000        -0.92180397560      -0.8621901854000        -0.82431943970        -0.94236694660        -0.93266066760
         0.2764265864       -0.018594919910        -0.10550035800       -0.423642838500       -0.078091253310       -0.425257524900          0.9130173334       -0.346607090000        0.084727087120         -0.9726932014         -0.9721168797         -0.9720728476         0.06180806963       0.0182492679300       7.895337066e-03       -0.277530462600       -0.016602236280        -0.58609041900       -0.053025815730       -0.048238231690        0.082833663320        -0.56155025580       -0.538453667800        -0.48108553510        -0.08188334292        -0.05382994491       -0.051493915680        -0.38954983150        -0.63414043610       -0.435492677300      -0.2904075937000        -0.42254416930      -0.2904075937000        -0.42254416930       -0.281424153900        -0.16415098510       -0.446549092900        -0.55301991630        -0.54791195030        -0.55779815140        -0.34604816100       -0.021904810330        -0.45380636980       -0.457651383700       -0.169219686200        -0.45522214640       -0.304615322900       -0.078764083660        -0.55495670970       -0.314313063400       -0.015332952010        -0.61589818850        -0.42971353610        -0.55477211220        -0.39665990750         -0.6040530192        -0.53304695250        -0.55985663510       -0.324289427900      -0.5771052117000      -0.1690643528000        -0.16409196940      -0.5307048147000        -0.65179283970        -0.58324929340        -0.55810455470
         0.2471647904       -0.021412113200        -0.15251389950       -0.304376406500        0.108027279900       -0.112121021200          0.7907174185       -0.416214890400       -0.195888238900         -0.9344077398         -0.9237674538         -0.8780040569         0.07445078396      -0.0097098551430       1.948143925e-02       -0.276121886500       -0.185648954200        -0.57374635250       -0.057691263460       -0.032088309740        0.068837402170        -0.43925305900       -0.466298336700        -0.16399579170        -0.08288580013        -0.04240537085       -0.044515748160        -0.46485436310        -0.64549133770       -0.467595961000      -0.1073226795000        -0.20597704530      -0.1073226795000        -0.20597704530       -0.321268911000        -0.21738939460       -0.219713473000        -0.37753216760        -0.57281643850        -0.59729171920        -0.26672093330        0.009924458819        -0.28100198620       -0.320582414400        0.084880279110        -0.09454497643       -0.258639439700       -0.187842131700        -0.52272806330       -0.365415441500       -0.243554146700        -0.62509098150        -0.33164357750        -0.48808612400        -0.24860112200         -0.4763588456        -0.45975848900        -0.21807247150       -0.145318539200      -0.3667282438000      -0.1895111369000        -0.26042383900      -0.4506121848000        -0.43862040190        -0.60079849620        -0.62182020290
         0.2776153481       -0.022661415840        -0.11681294240        0.046366681440        0.262881789000       -0.102837908100          0.8618313455       -0.325780100600       -0.043889016270         -0.9403617596         -0.9400685255         -0.9314383132         0.11004061560      -0.0032795908150      -2.093516778e-02        0.147249143200        0.126828014600        -0.34012202320       -0.115947352900       -0.004823292319        0.097173808910        -0.32078923000       -0.415739144900        -0.27941838800        -0.05810384985        -0.04214702575       -0.071022981690        -0.24394059260        -0.46939670110       -0.218266318600       0.0899511205000         0.21558633490       0.0899511205000         0.21558633490        0.005655163351         0.22961718510       -0.162188586900        -0.27484411050        -0.41087267150        -0.34318787540         0.11284116030        0.278345041800        -0.13129077200        0.016104619860        0.171973973000        -0.16203289430        0.138120681100        0.096209160760        -0.27149872110        0.049959062480        0.080833349130        -0.40822742320        -0.14577597040        -0.36191382400        -0.08749447361         -0.3794366744        -0.45873274740        -0.42298766510        0.293424826600      -0.0214787881700       0.2222474096000         0.22748073250      -0.3208385436000        -0.37257675540        -0.38017530650        -0.34369898540
         0.2770873517       -0.015687993730        -0.10921827250       -0.986822279600       -0.950704499100       -0.959828171700          0.9404772730       -0.105630024500        0.198726768800         -0.9799887609         -0.9567502730         -0.9544158730         0.07225643872       0.0116954511300       7.605469299e-03       -0.988055854100       -0.977983955400        -0.98751821170       -0.045470662040       -0.059928679700        0.041227746220        -0.98574202780       -0.978919527000        -0.95980370870        -0.09363284128        -0.04156020291       -0.043585096650        -0.98970902300        -0.99088961480       -0.985542325700      -0.9678936239000        -0.95308144410      -0.9678936239000        -0.95308144410       -0.986774713000        -0.98447586800       -0.946035087200        -0.96131362410        -0.99108149390        -0.98959491960        -0.98580384070       -0.957343498500        -0.97016217260       -0.987362090000       -0.950073754100        -0.95686286410       -0.987848793700       -0.977139702800        -0.98512905020       -0.989459107400       -0.980804228500        -0.98857080410        -0.98262138960        -0.98210092370        -0.95981482240         -0.9868085015        -0.97735618870        -0.96352265980       -0.961273748300      -0.9555756022000      -0.9838746989000        -0.98412418590      -0.9718405961000        -0.96138574520        -0.98986195090        -0.98963290890
